fluid,family,Tr,T_K,p_ref_Pa,rho_ref_molm3,rhov_ref_molm3,hvap_ref_Jmol,p_srk_Pa,dev_p_srk,rho_srk_molm3,dev_rho_srk,dev_rhov_srk,hvap_srk_Jmol,dev_h_srk,p_pr_Pa,dev_p_pr,rho_pr_molm3,dev_rho_pr,dev_rhov_pr,hvap_pr_Jmol,dev_h_pr,dev_rho_prvt,dev_rho_prvtc,dev_rho_prvtz,rho_prvt_molm3,dev_rhov_prvt,p_srktwu_Pa,dev_p_srktwu,rho_srktwu_molm3,dev_rho_srktwu,dev_rhov_srktwu,hvap_srktwu_Jmol,dev_h_srktwu,p_prtwu_Pa,dev_p_prtwu,rho_prtwu_molm3,dev_rho_prtwu,dev_rhov_prtwu,hvap_prtwu_Jmol,dev_h_prtwu
nitrogen,Inorganic gases,0.510435843795228,64.41291999999586,15711.566653530404,30771.88534506026,29.665900015179336,6000.160773947878,15242.26330822442,-2.9869926765102846,30948.98518516343,0.5755248276706629,-3.1807352674444336,6067.8116798708925,1.127484887017503,16344.33480298029,4.027403271765398,34855.61129144198,13.270964390348192,3.913177145574251,5894.96791350324,-1.7531673634709062,-0.6860185909950868,0.8892165976044654,40.528447576976056,30560.784490793452,3.900263369448815,16274.374366073585,3.5821234441742797,30888.028258524908,0.377431906307599,3.430953559865758,5922.405729327674,-1.295882686307489,16264.339777653166,3.518255921337752,34860.59908537566,13.287173322227893,3.400126399364595,5923.2023354382845,-1.2826062735475243
nitrogen,Inorganic gases,0.5226041554927863,65.9484635897291,20445.983464859717,30544.26887666906,37.79794343257154,5954.263912180336,19883.975375924696,-2.748745688369249,30717.1836071119,0.5661118658332657,-2.9695934149693275,6024.210037681252,1.1747232996816144,21167.80457080156,3.5303809532196313,34607.07374435873,13.30136558217965,3.4033148979580563,5856.873181040251,-1.635646867127558,-0.5720057146444496,0.9950141570558277,40.325383233199936,30369.553913198146,3.38702279619614,21098.242902562324,3.1901592741852607,30657.70004615509,0.3713664581203092,3.0174276110832667,5878.185676046992,-1.277710179720362,21087.388908981324,3.1370730844225863,34611.25430000906,13.315052456359586,3.006263139578006,5879.257378545668,-1.2597112714676761
nitrogen,Inorganic gases,0.5347724671903445,67.48400717946232,26257.862349552615,30314.38318332966,47.56959794236431,5907.491690139258,25596.820374524043,-2.517501105872907,30480.2915228075,0.547292479858454,-2.7663078215915253,5979.656095763857,1.2215743907867862,27068.352864827757,3.0866584053402613,34352.617648519554,13.32118301984973,2.9473743804120316,5817.774387774739,-1.5187038267743076,-0.46500192943442376,1.093414690704627,40.10422242684925,30173.420716631033,2.9270516179818906,26998.354922500654,2.8200794226520687,30422.651117319834,0.3571503775465618,2.624639288430285,5833.869302848666,-1.2462546060535646,26987.671478216307,2.779392773670041,34356.15647461744,13.33285677245913,2.636520021871483,5834.967106195702,-1.2276713662519938
nitrogen,Inorganic gases,0.5469407788879028,69.01955076919556,33311.351893556035,30082.127190126248,59.19153893176777,5859.754828773048,32547.4691189928,-2.293160532794239,30238.13681936066,0.5186123582564327,-2.5704250482473148,5934.035244521637,1.2676369220065506,34207.7683576581,2.691023969746092,34092.02333584501,13.32982910541951,2.5405574984376624,5777.561350694741,-1.4026777651978473,-0.36545847592393016,1.1839511900753015,39.86415082199957,29972.189506571714,2.5154702421578543,34135.13147276507,2.472969520544707,30182.70249763493,0.3343357564876418,2.2538261022663586,5789.290774022613,-1.2025085828580517,34125.94872891595,2.4454031105159,34095.08455087243,13.340005297442334,2.291454632684089,5790.178386764518,-1.1873609739931406
nitrogen,Inorganic gases,0.559109090585461,70.55509435892878,41781.89794388519,29847.392467749214,72.88529793247454,5810.960361916677,40914.66654966834,-2.0756151273491095,29990.53711037755,0.4795884356833096,-2.3814651830646656,5887.228755323625,1.312492060809568,42759.11954678763,2.3388636012056967,33825.057765185105,13.326676029518655,2.1786915576008594,5736.119722561527,-1.2879220420368709,-0.273859551257496,1.2661228111926837,39.60430366552416,29765.652532674972,2.148019799180072,42679.97889155376,2.1494498619347735,29937.66388118031,0.3024432151942108,1.9057745178070993,5744.2835235207385,-1.1474323389455414,42673.94950795012,2.135019249874656,33827.80364259187,13.335875752441623,1.9713740998167857,5744.737044002532,-1.1396277687274194
nitrogen,Inorganic gases,0.5712774022830193,72.090637948662,51855.54968405893,29610.06213938224,88.88299145970515,5761.011901585589,50888.57416108534,-1.864748380578554,29737.298925149986,0.42970793228602133,-2.198931590362792,5839.113846990114,1.3556983866502619,52906.18638215489,2.0260834269373036,33551.47344216945,13.31105380405474,1.8581481757093974,5693.330995065348,-1.174809350795004,-0.19072395958358276,1.3393931816462257,39.323763577112366,29553.58865643485,1.8209809480069616,52814.76019875234,1.8497740753643546,29687.3327823448,0.2609607592136364,1.580917079190441,5698.6798291487385,-1.0819639587915966,52813.8137467275,1.847948905193364,33554.06395175857,13.319802551615373,1.6763985762967326,5698.487531815407,-1.085301867766898
nitrogen,Inorganic gases,0.5834457139805775,73.62618153839524,63728.21050262892,29370.009719730315,107.42724796218293,5709.80974957493,62670.04160271376,-1.6604403161006813,29478.21678395574,0.36842706304156886,-2.022321091853009,5789.563662528197,1.3967875717611136,64842.843901605964,1.7490423631635819,33271.00720008271,13.282247835729413,1.5757728850578239,5649.072413731335,-1.0637365955690008,-0.11660715159041528,1.4031883100281326,39.021557771793795,29335.76218797431,1.5311032768117443,64731.23384889939,1.5739079104207612,29431.493566346235,0.20934227534359995,1.279409947010375,5652.310333401426,-1.007028582305821,64737.50188407503,1.5837434842211218,33273.59954115197,13.291074326064262,1.4065109600910495,5651.272549038516,-1.0252040453847207
nitrogen,Inorganic gases,0.5956140256781358,75.16172512812847,77604.858439537,29127.097859313806,128.77136324201527,5657.250865125968,76469.83125478064,-1.4625723280465377,29213.072141772696,0.29516940848055934,-1.8511337466992244,5738.447144197364,1.435260358912651,78772.4184867557,1.504493495247297,32983.378820580234,13.23949601808107,1.3288241907228044,5603.216794052941,-0.9551294853498397,-0.05210367138523043,1.4568940789692935,38.696654689247836,29111.921571961135,1.2755440535894031,78630.47812935227,1.3215921147699077,29169.916340826974,0.14700565679418096,1.0011947966929162,5605.003497094582,-0.9235469537591853,78646.18988619735,1.341837956539362,32986.126942463765,13.248930950104867,1.1615959599100776,5602.93258079186,-0.9601533612191668
nitrogen,Inorganic gases,0.6077823373756941,76.6972687178617,93698.75850628591,28881.176964837083,153.17971164333719,5603.22869546999,92507.81716002017,-1.2710321516008598,28941.632179473938,0.20932392994391985,-1.6848817538476932,5685.628796553781,1.470582508088748,94907.03501323398,1.289533101836144,32688.289469131574,13.181985308042195,1.1149209832818194,5555.632229276491,-0.8494471452143217,0.00214996119896314,1.4998532929130495,38.34795998940363,28881.79789893563,1.0518152138717354,94722.31678645438,1.0923925743368288,28902.355687523734,0.07333053882269419,0.746048211999447,5556.584973256477,-0.8324436632619235,94749.66681843021,1.121581895958413,32691.343574771246,13.192560035115788,0.9414709200811978,5553.305354367505,-0.8909745401405166
nitrogen,Inorganic gases,0.6199506490732523,78.23281230759491,112230.68638187062,28632.08366308059,180.92843927141206,5547.632872923752,111012.1769143982,-1.0857186271911263,28663.648417506574,0.11024260335857253,-1.5230972239993306,5630.968327709736,1.5021804199177928,113466.97056070218,1.1015562843704232,32385.419915188024,13.108847739737307,0.9319972521291622,5506.181680357575,-0.7471870167993178,0.045471893682265535,1.5313622404047198,37.974311857107665,28645.103213722883,0.8577375200076913,113224.75868413497,0.8857401966534972,28628.54920876394,-0.012344383867555193,0.5136210072434632,5506.876889019893,-0.7346553897388668,113265.74909566724,0.9222635512312279,32388.925943274397,13.121092842565407,0.7459102150853043,5502.225197959402,-0.8185054058997048
